 +-----------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                     |   Total  |       Mean      |   rms   |  min |   max  |
 | *AllStreams/Phys/BetaSJpsi2MuMuLine/Particles                                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSJpsi2MuMuLine/decayVertices                                            |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSPsi2SMuMu_InclPsi2SToMuMuLine/Particle2VertexRelations                 |        3 |       3         |         |      |        |
 | *AllStreams/Phys/BetaSPsi2SMuMu_InclPsi2SToMuMuLine/Particles                                |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSPsi2SMuMu_InclPsi2SToMuMuLine/decayVertices                            |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BetaSPsi2SMuMu_Psi2SToMuMu/_RefitPVs                                        |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Bs2MuMuLinesNoMuIDLooseLine/Particle2VertexRelations                        |       44 |     3.1+-0.1    | 0.5     |    3 | 5      |
 | *AllStreams/Phys/Bs2MuMuLinesNoMuIDLooseLine/Particles                                       |       15 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/Bs2MuMuLinesNoMuIDLooseLine/_RefitPVs                                       |       15 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/Bs2MuMuLinesNoMuIDLooseLine/decayVertices                                   |       15 |     1.1+-0.1    | 0.3     |    1 | 2      |
 | *AllStreams/Phys/BsPhiRhoLine/Particle2VertexRelations                                       |        7 |       7         |         |      |        |
 | *AllStreams/Phys/BsPhiRhoLine/Particles                                                      |        1 |       1         |         |      |        |
 | *AllStreams/Phys/BsPhiRhoLine/decayVertices                                                  |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiBs2TriPhiLine/Particle2VertexRelations                             |       19 |      19         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiBs2TriPhiLine/Particles                                            |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiBs2TriPhiLine/_RefitPVs                                            |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiBs2TriPhiLine/decayVertices                                        |        3 |       3         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiKKDetachedLine/Particle2VertexRelations                            |        6 |       6         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiKKDetachedLine/Particles                                           |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiKKDetachedLine/_RefitPVs                                           |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiKKDetachedLine/decayVertices                                       |        1 |       1         |         |      |        |
 | *AllStreams/Phys/Ccbar2PhiPhiDetachedLine/Particle2VertexRelations                           |       29 |    14.5+-2.5    | 3.5     |   11 | 18     |
 | *AllStreams/Phys/Ccbar2PhiPhiDetachedLine/Particles                                          |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/Ccbar2PhiPhiDetachedLine/_RefitPVs                                          |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/Ccbar2PhiPhiDetachedLine/decayVertices                                      |        3 |     1.5+-0.4    | 0.5     |    1 | 2      |
 | *AllStreams/Phys/Ccbar2PpbarDetachedLine/Particle2VertexRelations                            |       12 |       3         |         |      |        |
 | *AllStreams/Phys/Ccbar2PpbarDetachedLine/Particles                                           |        4 |       1         |         |      |        |
 | *AllStreams/Phys/Ccbar2PpbarDetachedLine/decayVertices                                       |        4 |       1         |         |      |        |
