 +------------------------------------------------------------------------------------------------------------------------------------------------+
 | Location                                                                                |   Total  |       Mean      |   rms   |  min |   max  |
 | *Charm/Phys/BetacHHHBetacLb1Line/Cone3                                                  |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
 | *Charm/Phys/BetacHHHBetacLb1Line/Cone4                                                  |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
 | *Charm/Phys/BetacHHHBetacLb1Line/Cone5                                                  |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
 | *Charm/Phys/BetacHHHBetacLb1Line/Particle2VertexRelations                               |     1672 |    18.0+-1.4    | 14.0    |    8 | 87     |
 | *Charm/Phys/BetacHHHBetacLb1Line/Particles                                              |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
 | *Charm/Phys/BetacHHHBetacLb1Line/decayVertices                                          |      534 |     5.7+-1.0    | 9.2     |    1 | 58     |
 | *Charm/Phys/BetacHHHBetacLb2Line/Cone1                                                  |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHBetacLb2Line/Cone2                                                  |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHBetacLb2Line/Cone3                                                  |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHBetacLb2Line/Cone4                                                  |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHBetacLb2Line/Cone5                                                  |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHBetacLb2Line/Particle2VertexRelations                               |      526 |    35.1+-10.7   | 41.5    |   13 | 182    |
 | *Charm/Phys/BetacHHHBetacLb2Line/Particles                                              |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHBetacLb2Line/decayVertices                                          |      276 |    18.4+-9.8    | 37.8    |    1 | 154    |
 | *Charm/Phys/BetacHHHXic2PKKLine/Cone1                                                   |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/BetacHHHXic2PKKLine/Cone2                                                   |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/BetacHHHXic2PKKLine/Cone3                                                   |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/BetacHHHXic2PKKLine/Cone4                                                   |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/BetacHHHXic2PKKLine/Cone5                                                   |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/BetacHHHXic2PKKLine/Particle2VertexRelations                                |      144 |     4.8+-0.3    | 1.7     |    4 | 12     |
 | *Charm/Phys/BetacHHHXic2PKKLine/Particles                                               |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/BetacHHHXic2PKKLine/decayVertices                                           |       32 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/CC2DDcontrolLine/Particle2VertexRelations                                   |     2686 |    15.2+-0.9    | 12.2    |    7 | 117    |
 | *Charm/Phys/CC2DDcontrolLine/Particles                                                  |      599 |     3.4+-0.5    | 6.5     |    1 | 72     |
 | *Charm/Phys/CC2DDcontrolLine/decayVertices                                              |      599 |     3.4+-0.5    | 6.5     |    1 | 72     |
 | *Charm/Phys/Ccbar2LstLambdaLine/Particle2VertexRelations                                |     1021 |     9.2+-0.3    | 3.4     |    7 | 24     |
 | *Charm/Phys/Ccbar2LstLambdaLine/Particles                                               |      150 |     1.4+-0.1    | 0.7     |    1 | 6      |
 | *Charm/Phys/Ccbar2LstLambdaLine/_RefitPVs                                               |      150 |     1.4+-0.1    | 0.7     |    1 | 6      |
 | *Charm/Phys/Ccbar2LstLambdaLine/decayVertices                                           |      150 |     1.4+-0.1    | 0.7     |    1 | 6      |
 | *Charm/Phys/Ccbar2LstLstLine/Particle2VertexRelations                                   |     1075 |    11.7+-0.7    | 6.6     |    7 | 33     |
 | *Charm/Phys/Ccbar2LstLstLine/Particles                                                  |      213 |     2.3+-0.3    | 2.4     |    1 | 13     |
 | *Charm/Phys/Ccbar2LstLstLine/_RefitPVs                                                  |      213 |     2.3+-0.3    | 2.4     |    1 | 13     |
 | *Charm/Phys/Ccbar2LstLstLine/decayVertices                                              |      213 |     2.3+-0.3    | 2.4     |    1 | 13     |
 | *Charm/Phys/Ccbar2PhiB2JpsiKLine/Particle2VertexRelations                               |       10 |      10         |         |      |        |
 | *Charm/Phys/Ccbar2PhiB2JpsiKLine/Particles                                              |        2 |       2         |         |      |        |
 | *Charm/Phys/Ccbar2PhiB2JpsiKLine/_RefitPVs                                              |        2 |       2         |         |      |        |
 | *Charm/Phys/Ccbar2PhiB2JpsiKLine/decayVertices                                          |        2 |       2         |         |      |        |
 | *Charm/Phys/Ccbar2PhiBs2TriPhiLine/Particle2VertexRelations                             |       10 |      10         |         |      |        |
 | *Charm/Phys/Ccbar2PhiBs2TriPhiLine/Particles                                            |        1 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PhiBs2TriPhiLine/_RefitPVs                                            |        1 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PhiBs2TriPhiLine/decayVertices                                        |        1 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PhiKKDetachedLine/Particle2VertexRelations                            |       38 |     6.3+-0.3    | 0.7     |    6 | 8      |
 | *Charm/Phys/Ccbar2PhiKKDetachedLine/Particles                                           |        6 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PhiKKDetachedLine/_RefitPVs                                           |        6 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PhiKKDetachedLine/decayVertices                                       |        6 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PhiPhiLine/Particle2VertexRelations                                   |      394 |     7.2+-0.1    | 0.7     |    7 | 10     |
 | *Charm/Phys/Ccbar2PhiPhiLine/Particles                                                  |       58 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/Ccbar2PhiPhiLine/_RefitPVs                                                  |       58 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/Ccbar2PhiPhiLine/decayVertices                                              |       58 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/Ccbar2PhiPhiPiPiLine/Particle2VertexRelations                               |      405 |    33.8+-6.9    | 23.9    |    9 | 77     |
 | *Charm/Phys/Ccbar2PhiPhiPiPiLine/Particles                                              |      218 |    18.2+-5.5    | 19.0    |    1 | 54     |
 | *Charm/Phys/Ccbar2PhiPhiPiPiLine/decayVertices                                          |      218 |    18.2+-5.5    | 19.0    |    1 | 54     |
 | *Charm/Phys/Ccbar2PhiPiPiDetachedLine/Particle2VertexRelations                          |      122 |     7.2+-0.5    | 2.3     |    6 | 14     |
 | *Charm/Phys/Ccbar2PhiPiPiDetachedLine/Particles                                         |       22 |     1.3+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/Ccbar2PhiPiPiDetachedLine/_RefitPVs                                         |       22 |     1.3+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/Ccbar2PhiPiPiDetachedLine/decayVertices                                     |       22 |     1.3+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/Ccbar2PpbarLine/Particle2VertexRelations                                    |      249 |       3         |         |      |        |
 | *Charm/Phys/Ccbar2PpbarLine/Particles                                                   |       83 |       1         |         |      |        |
 | *Charm/Phys/Ccbar2PpbarLine/decayVertices                                               |       83 |       1         |         |      |        |
 | *Charm/Phys/Charm2PPXHc2PPKLine/Particle2VertexRelations                                |      180 |     6.2+-0.6    | 3.4     |    4 | 18     |
 | *Charm/Phys/Charm2PPXHc2PPKLine/Particles                                               |       37 |     1.3+-0.1    | 0.5     |    1 | 3      |
 | *Charm/Phys/Charm2PPXHc2PPKLine/decayVertices                                           |       37 |     1.3+-0.1    | 0.5     |    1 | 3      |
 | *Charm/Phys/Charm2PPXHc2PPKPiLine/Particle2VertexRelations                              |      184 |    10.8+-1.4    | 5.6     |    5 | 21     |
 | *Charm/Phys/Charm2PPXHc2PPKPiLine/Particles                                             |       23 |     1.4+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/Charm2PPXHc2PPKPiLine/decayVertices                                         |       23 |     1.4+-0.2    | 0.8     |    1 | 4      |
 | *Charm/Phys/Charm2PPXHc2PPKPiPiLine/Particle2VertexRelations                            |       76 |    12.7+-2.5    | 6.2     |    6 | 23     |
 | *Charm/Phys/Charm2PPXHc2PPKPiPiLine/Particles                                           |        9 |     1.5+-0.3    | 0.8     |    1 | 3      |
 | *Charm/Phys/Charm2PPXHc2PPKPiPiLine/decayVertices                                       |        9 |     1.5+-0.3    | 0.8     |    1 | 3      |
 | *Charm/Phys/Charm2PPXHc2PPLine/Particle2VertexRelations                                 |      154 |     3.6+-0.2    | 1.4     |    3 | 9      |
 | *Charm/Phys/Charm2PPXHc2PPLine/Particles                                                |       47 |     1.1+-0.0    | 0.3     |    1 | 2      |
 | *Charm/Phys/Charm2PPXHc2PPLine/decayVertices                                            |       47 |     1.1+-0.0    | 0.3     |    1 | 2      |
 | *Charm/Phys/CharmAndWForPromptCharm/Particle2VertexRelations                            |       12 |       6         |         |      |        |
 | *Charm/Phys/CharmAndWForPromptCharm/Particles                                           |        2 |       1         |         |      |        |
 | *Charm/Phys/CharmAndWForPromptCharm/decayVertices                                       |        2 |       1         |         |      |        |
 | *Charm/Phys/CharmSelForD0_KKB2DMuNuX/Particles                                          |       34 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/CharmSelForD0_KKB2DMuNuX/decayVertices                                      |       34 |     1.1+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/CharmSelForD0_PiPiB2DMuNuX/Particles                                        |       41 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/CharmSelForD0_PiPiB2DMuNuX/decayVertices                                    |       41 |     1.0+-0.0    | 0.2     |    1 | 2      |
 | *Charm/Phys/ChiAndCharmForPromptCharm/Particle2VertexRelations                          |       44 |    14.7+-1.0    | 1.7     |   13 | 17     |
 | *Charm/Phys/ChiAndCharmForPromptCharm/Particles                                         |       24 |     8.0+-0.9    | 1.6     |    6 | 10     |
 | *Charm/Phys/ChiAndCharmForPromptCharm/decayVertices                                     |       24 |     8.0+-0.9    | 1.6     |    6 | 10     |
 | *Charm/Phys/D02FourPiConjForDstarPromptWithD02HHMuMuControl/Particles                   |       88 |     1.4+-0.1    | 1.0     |    1 | 5      |
 | *Charm/Phys/D02FourPiForDstarPromptWithD02HHMuMuControl/Particles                       |      122 |     1.9+-0.2    | 1.6     |    1 | 9      |
 | *Charm/Phys/D02FourPiForDstarPromptWithD02HHMuMuControl/decayVertices                   |      190 |     1.7+-0.1    | 1.3     |    1 | 9      |
 | *Charm/Phys/D02K3PiConjForDstarPromptWithD02HHMuMuControl/Particles                     |      468 |     2.4+-0.2    | 3.1     |    1 | 26     |
 | *Charm/Phys/D02K3PiForDstarPromptWithD02HHMuMuControl/Particles                         |      511 |     2.5+-0.2    | 3.3     |    1 | 33     |
 | *Charm/Phys/D02K3PiForDstarPromptWithD02HHMuMuControl/decayVertices                     |      909 |     3.5+-0.3    | 5.4     |    1 | 52     |
 | *Charm/Phys/D02KKConjForDstarPromptWithD02HHLL/Particles                                |        5 |     1.7+-0.3    | 0.5     |    1 | 2      |
 | *Charm/Phys/D02KKForDstarPromptWithD02HHLL/Particles                                    |        8 |     2.0+-0.6    | 1.2     |    1 | 4      |
 | *Charm/Phys/D02KKForDstarPromptWithD02HHLL/decayVertices                                |       11 |     1.8+-0.4    | 1.1     |    1 | 4      |
 | *Charm/Phys/D02KKForPromptCharm/Particle2VertexRelations                                |      286 |     3.1+-0.0    | 0.5     |    3 | 6      |
 | *Charm/Phys/D02KKForPromptCharm/Particles                                               |       92 |       1         |         |      |        |
 | *Charm/Phys/D02KKForPromptCharm/decayVertices                                           |       92 |       1         |         |      |        |
 | *Charm/Phys/D02KKPiPiConjForDstarPromptWithD02HHMuMuControl/Particles                   |      323 |     3.1+-0.4    | 4.1     |    1 | 30     |
